Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Academy of Vocal Arts,"1920 Spruce St, Philadelphia, Pennsylvania 19103-6685",www.avaopera.org/,"4-year, Private not-for-profit",Postbaccalaureate certificate,City: Large,No,,,NA,NA,Fall 2017,NA,-,210508,3353300
Albright College,"1621 N. 13th St., Reading, Pennsylvania 19612-5234",www.albright.edu/home/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Small,Yes,1652,1328,42%,NA,Fall 2017,"$22,116 ",-,210571,322900
Allegheny College,"520 N Main St, Meadville, Pennsylvania 16335-3902",https://allegheny.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,1231,1231,67%,NA,Fall 2017,"$27,929 ",-,210669,323000
All-State Career School,"50 West Powhattan Avenue, Essington, Pennsylvania 19029",www.allstatecareer.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,Suburb: Large,No,831,831,46%,NA,Fall 2020,"$19,634 ",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,210599,2495500
All-State Career School-Pittsburgh,"1200 Lebanon Road, West Mifflin, Pennsylvania 15122",https://www.allstatecareer.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,418,418,64%,NA,2020-21,"$12,740 ",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,418658,3493302
Altoona Beauty School Inc,"1528 Valley View Blvd., Altoona, Pennsylvania 16602-6039",www.altoonabeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,80,80,76%,NA,2020-21,NA,"Cosmetology/Cosmetologist, General",210748,2290400
Alvernia University,"400 Saint Bernardine St, Reading, Pennsylvania 19607-1799",https://www.alvernia.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,2485,2050,58%,31%,Fall 2017,"$26,166 ",-,210775,323300
American Barber and Beauty Academy,"733 Lancaster Avenue, Reading, Pennsylvania 19607-1602",americanbarberbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,118,118,80%,NA,2020-21,NA,Aesthetician/Esthetician and Skin Care Specialist,490258,4257900
American College of Financial Services,"630 Allendale Rd #400, King of Prussia, Pennsylvania 19406",https://www.theamericancollege.edu/,"4-year, Private not-for-profit",Less than one year certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,No,4204,3963,NA,NA,Fall 2017,NA,-,210809,
Arcadia University,"450 S Easton Rd, Glenside, Pennsylvania 19038-3295",https://www.arcadia.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,3142,1890,64%,30%,Fall 2017,"$26,994 ",-,211088,323500
ASPIRA City College,"4322 N. 5th Street, Philadelphia, Pennsylvania 19140-2302",https://aspiracitycollege.edu/,"2-year, Private not-for-profit",One but less than two years certificate|Associate's degree,City: Large,No,14,14,0%,50%,Fall 2020,"$15,727 ",-,214023,3109100
Automotive Training Center-Exton,"114 Pickering Way, Exton, Pennsylvania 19341-1310",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate|Two but less than 4 years certificate,Suburb: Large,No,364,364,74%,NA,Fall 2020,"$11,395 ",Automobile/Automotive Mechanics Technology/Technician,211006,1162100
Automotive Training Center-Warminster,"900 Johnsville Blvd, Warminster, Pennsylvania 18974",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate|Two but less than 4 years certificate,Suburb: Large,No,275,275,67%,NA,Fall 2020,"$12,309 ",Automobile/Automotive Mechanics Technology/Technician,448770,1162101
Aviation Institute of Maintenance-Philadelphia,"3001 Grant Avenue, Philadelphia, Pennsylvania 19114-1018",https://aviationmaintenance.edu/campuses/philadelphia-pa,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,339,339,44%,NA,Fall 2020,"$20,378 ",-,250285,3110700
Barber and Beauty Academy of Pennsylvania,"3605 N. Progress Ave, Suite 102, Harrisburg, Pennsylvania 17110",www.barberandbeautyacademyofpa.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,44,44,83%,NA,2020-21,NA,Aesthetician/Esthetician and Skin Care Specialist,483346,4226300
Barber School of Pittsburgh,"1201 Banksville Road, Pittsburgh, Pennsylvania 15216",bsp.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,78,78,79%,NA,2020-21,"$18,711 ",Barbering/Barber,483054,4224600
Bella Capelli Academy,"151 Wyngate Drive, Monroeville, Pennsylvania 15146-2388",paulmitchell.edu/monroeville,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,194,194,85%,NA,2020-21,"$16,044 ","Cosmetology/Cosmetologist, General",461193,4151700
Berks Career & Technology Center,"1057 County Road, Leesport, Pennsylvania 19533-9112",https://www.berkscareer.com/ACE,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,47,47,75%,NA,2020-21,"$14,034 ",Welding Technology/Welder,481021,4041300
Bryn Athyn College of the New Church,"2945 College Drive, Bryn Athyn, Pennsylvania 19009-0717",www.brynathyn.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,285,273,46%,17%,Fall 2017,"$19,204 ",-,210492,322800
Bryn Mawr College,"101 N Merion Avenue, Bryn Mawr, Pennsylvania 19010",www.brynmawr.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,Yes,1666,1349,86%,9%,Fall 2017,"$39,383 ",-,211273,323700
Bucknell University,"One Dent Drive, Lewisburg, Pennsylvania 17837",www.bucknell.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree,Town: Distant,Yes,3892,3846,86%,5%,Fall 2017,"$38,486 ",-,211291,323800
Bucks County Community College,"275 Swamp Rd, Newtown, Pennsylvania 18940-4106",www.bucks.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,6098,6098,28%,23%,Fall 2020,"$6,842 ",-,211307,323900
Bucks County Community College-Gene and Marlene Epstein Campus at Lower Bucks,"1304 Veterans Hwy, Bristol, Pennsylvania 19007-0277",www.bucks.edu/,"2-year, Public",,Suburb: Large,,,,NA,NA,Fall 2023,NA,-,21130702,323901
Bucks County Community College-Upper Bucks Campus,"One Hillendale Dr, Perkasie, Pennsylvania 18944-0277",www.bucks.edu/,"2-year, Public",,Suburb: Large,,,,NA,NA,Fall 2023,NA,-,21130701,323902
Bucks County School of Beauty Culture Inc,"1761 Bustleton Pike, Feasterville, Pennsylvania 19053-7368",www.bcsbc.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,112,112,92%,NA,2020-21,"$19,294 ","Cosmetology/Cosmetologist, General",211316,2270500
Butler Beauty Academy,"233 S Main St, Butler, Pennsylvania 16001",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Fringe,No,14,14,76%,NA,2020-21,"$11,913 ","Cosmetology/Cosmetologist, General",211334,2544300
Butler Beauty Academy-Kittanning Beauty Academy,"120 Market St, Kittanning, Pennsylvania 16201",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Distant,No,39,39,71%,NA,2020-21,"$8,909 ","Cosmetology/Cosmetologist, General",213330,2544302
Butler Beauty Academy-New Castle Beauty Academy,"314 E Washington St, New Castle, Pennsylvania 16101",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Fringe,No,30,30,50%,NA,2020-21,"$8,970 ","Cosmetology/Cosmetologist, General",367431,2544303
Butler County Community College,"107 College Drive, Butler, Pennsylvania 16002",https://www.bc3.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Fringe,No,2468,2468,31%,30%,Fall 2020,"$6,928 ",-,211343,324000
Byzantine Catholic Seminary of Saints Cyril and Methodius,"3605 Perrysville Avenue, Pittsburgh, Pennsylvania 15214-2229",www.bcs.edu/,"4-year, Private not-for-profit",Master's degree,City: Large,Yes,35,,NA,NA,Fall 2017,NA,-,444103,4118000
