ZIP Code,State,County,
19103,Pennsylvania,Philadelphia County,
19612,Pennsylvania,Berks County,
16335,Pennsylvania,Crawford County,
19029,Pennsylvania,Delaware County,
15122,Pennsylvania,Allegheny County,
16602,Pennsylvania,Blair County,
19607,Pennsylvania,Berks County,
19607,Pennsylvania,Berks County,
19406,Pennsylvania,Montgomery County,
19038,Pennsylvania,Montgomery County,
19140,Pennsylvania,Philadelphia County,
19341,Pennsylvania,Chester County,
18974,Pennsylvania,Bucks County,
19114,Pennsylvania,Philadelphia County,
17110,Pennsylvania,Dauphin County,
15216,Pennsylvania,Allegheny County,
15146,Pennsylvania,Allegheny County,
19533,Pennsylvania,Berks County,
19009,Pennsylvania,Montgomery County,
19010,Pennsylvania,Delaware County,
17837,Pennsylvania,Union County,
18940,Pennsylvania,Bucks County,
19007,Pennsylvania,Bucks County,
18944,Pennsylvania,Bucks County,
19053,Pennsylvania,Bucks County,
16001,Pennsylvania,Butler County,
16201,Pennsylvania,Armstrong County,
16101,Pennsylvania,Lawrence County,
16002,Pennsylvania,Butler County,
15214,Pennsylvania,Allegheny County,
19047,Pennsylvania,Bucks County,
18508,Pennsylvania,Lackawanna County,
15213,Pennsylvania,Allegheny County,
15213,Pennsylvania,Allegheny County,
18372,Pennsylvania,Monroe County,
18104,Pennsylvania,Lehigh County,
17093,Pennsylvania,Cumberland County,
16823,Pennsylvania,Centre County,
17847,Pennsylvania,Northumberland County,
17602,Pennsylvania,Lancaster County,
17042,Pennsylvania,Lebanon County,
15232,Pennsylvania,Allegheny County,
19335,Pennsylvania,Chester County,
19118,Pennsylvania,Philadelphia County,
19319,Pennsylvania,Delaware County,
15084,Pennsylvania,Allegheny County,
16830,Pennsylvania,Clearfield County,
15905,Pennsylvania,Cambria County,
17815,Pennsylvania,Columbia County,
15233,Pennsylvania,Allegheny County,
15061,Pennsylvania,Beaver County,
19130,Pennsylvania,Philadelphia County,
19406,Pennsylvania,Montgomery County,
16335,Pennsylvania,Crawford County,
19103,Pennsylvania,Philadelphia County,
17603,Pennsylvania,Lancaster County,
19063,Pennsylvania,Delaware County,
19008,Pennsylvania,Delaware County,
18901,Pennsylvania,Bucks County,
18034,Pennsylvania,Lehigh County,
17013,Pennsylvania,Cumberland County,
15905,Pennsylvania,Cambria County,
15062,Pennsylvania,Westmoreland County,
19104,Pennsylvania,Philadelphia County,
15282,Pennsylvania,Allegheny County,
18301,Pennsylvania,Monroe County,
19090,Pennsylvania,Montgomery County,
19087,Pennsylvania,Chester County,
17022,Pennsylvania,Lancaster County,
18052,Pennsylvania,Lehigh County,
19102,Pennsylvania,Philadelphia County,
19095,Pennsylvania,Montgomery County,
17331,Pennsylvania,York County,
17109,Pennsylvania,Dauphin County,
17603,Pennsylvania,Lancaster County,
17042,Pennsylvania,Lebanon County,
15146,Pennsylvania,Allegheny County,
19154,Pennsylvania,Philadelphia County,
15237,Pennsylvania,Allegheny County,
17901,Pennsylvania,Schuylkill County,
19605,Pennsylvania,Berks County,
17876,Pennsylvania,Snyder County,
19064,Pennsylvania,Delaware County,
15122,Pennsylvania,Allegheny County,
18507,Pennsylvania,Lackawanna County,
17402,Pennsylvania,York County,
16565,Pennsylvania,Erie County,
19608,Pennsylvania,Berks County,
18017,Pennsylvania,Northampton County,
15401,Pennsylvania,Fayette County,
18704,Pennsylvania,Luzerne County,
18509,Pennsylvania,Lackawanna County,
15217,Pennsylvania,Allegheny County,
17604,Pennsylvania,Lancaster County,
17202,Pennsylvania,Franklin County,
16541,Pennsylvania,Erie County,
18509,Pennsylvania,Lackawanna County,
15010,Pennsylvania,Beaver County,
17325,Pennsylvania,Adams County,
19027,Pennsylvania,Montgomery County,
16509,Pennsylvania,Erie County,
16602,Pennsylvania,Blair County,
15904,Pennsylvania,Cambria County,
15370,Pennsylvania,Greene County,
16127,Pennsylvania,Mercer County,
19437,Pennsylvania,Montgomery County,
19010,Pennsylvania,Delaware County,
17110,Pennsylvania,Dauphin County,
17325,Pennsylvania,Adams County,
17602,Pennsylvania,Lancaster County,
17042,Pennsylvania,Lebanon County,
17404,Pennsylvania,York County,
17101,Pennsylvania,Dauphin County,
19041,Pennsylvania,Delaware County,
18202,Pennsylvania,Luzerne County,
19107,Pennsylvania,Philadelphia County,
15136,Pennsylvania,Allegheny County,
19114,Pennsylvania,Philadelphia County,
